match_num,team_1,abbrev_1,game_1,team_2,abbrev_2,game_2,start,series_id,match_id,url,status
0,Chennai Super Kings,CSK,1,Kolkata Knight Riders,KKR,1,2022-03-26 14:00:00,1298423,1304047,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-kolkata-knight-riders-1st-match-1304047/live-cricket-score,Match yet to begin
1,Delhi Capitals,DC,1,Mumbai Indians,MI,1,2022-03-27 10:00:00,1298423,1304048,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-mumbai-indians-2nd-match-1304048/live-cricket-score,Match yet to begin
2,Punjab Kings,KXIP,1,Royal Challengers Bangalore,RCB,1,2022-03-27 14:00:00,1298423,1304049,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-royal-challengers-bangalore-3rd-match-1304049/live-cricket-score,Match yet to begin
3,Gujarat Titans,GT,1,Lucknow Super Giants,LSG,1,2022-03-28 14:00:00,1298423,1304050,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-lucknow-super-giants-4th-match-1304050/live-cricket-score,Match yet to begin
4,Sunrisers Hyderabad,SRH,1,Rajasthan Royals,RR,1,2022-03-29 14:00:00,1298423,1304051,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-rajasthan-royals-5th-match-1304051/live-cricket-score,Match yet to begin
5,Royal Challengers Bangalore,RCB,2,Kolkata Knight Riders,KKR,2,2022-03-30 14:00:00,1298423,1304052,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-kolkata-knight-riders-6th-match-1304052/live-cricket-score,Match yet to begin
6,Lucknow Super Giants,LSG,2,Chennai Super Kings,CSK,2,2022-03-31 14:00:00,1298423,1304053,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-chennai-super-kings-7th-match-1304053/live-cricket-score,Match yet to begin
7,Kolkata Knight Riders,KKR,3,Punjab Kings,KXIP,2,2022-04-01 14:00:00,1298423,1304054,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-punjab-kings-8th-match-1304054/live-cricket-score,Match yet to begin
8,Mumbai Indians,MI,2,Rajasthan Royals,RR,2,2022-04-02 10:00:00,1298423,1304055,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-rajasthan-royals-9th-match-1304055/live-cricket-score,Match yet to begin
9,Gujarat Titans,GT,2,Delhi Capitals,DC,2,2022-04-02 14:00:00,1298423,1304056,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-delhi-capitals-10th-match-1304056/live-cricket-score,Match yet to begin
10,Chennai Super Kings,CSK,3,Punjab Kings,KXIP,3,2022-04-03 14:00:00,1298423,1304057,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-punjab-kings-11th-match-1304057/live-cricket-score,Match yet to begin
11,Sunrisers Hyderabad,SRH,2,Lucknow Super Giants,LSG,3,2022-04-04 14:00:00,1298423,1304058,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058/live-cricket-score,Match yet to begin
12,Rajasthan Royals,RR,3,Royal Challengers Bangalore,RCB,3,2022-04-05 14:00:00,1298423,1304059,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-royal-challengers-bangalore-13th-match-1304059/live-cricket-score,Match yet to begin
13,Kolkata Knight Riders,KKR,4,Mumbai Indians,MI,3,2022-04-06 14:00:00,1298423,1304060,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-mumbai-indians-14th-match-1304060/live-cricket-score,Match yet to begin
14,Lucknow Super Giants,LSG,4,Delhi Capitals,DC,3,2022-04-07 14:00:00,1298423,1304061,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-delhi-capitals-15th-match-1304061/live-cricket-score,Match yet to begin
15,Punjab Kings,KXIP,4,Gujarat Titans,GT,3,2022-04-08 14:00:00,1298423,1304062,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-gujarat-titans-16th-match-1304062/live-cricket-score,Match yet to begin
16,Chennai Super Kings,CSK,4,Sunrisers Hyderabad,SRH,3,2022-04-09 10:00:00,1298423,1304063,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-sunrisers-hyderabad-17th-match-1304063/live-cricket-score,Match yet to begin
17,Royal Challengers Bangalore,RCB,4,Mumbai Indians,MI,4,2022-04-09 14:00:00,1298423,1304064,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-mumbai-indians-18th-match-1304064/live-cricket-score,Match yet to begin
18,Kolkata Knight Riders,KKR,5,Delhi Capitals,DC,4,2022-04-10 10:00:00,1298423,1304065,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-delhi-capitals-19th-match-1304065/live-cricket-score,Match yet to begin
19,Rajasthan Royals,RR,4,Lucknow Super Giants,LSG,5,2022-04-10 14:00:00,1298423,1304066,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-lucknow-super-giants-20th-match-1304066/live-cricket-score,Match yet to begin
20,Sunrisers Hyderabad,SRH,4,Gujarat Titans,GT,4,2022-04-11 14:00:00,1298423,1304067,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-gujarat-titans-21st-match-1304067/live-cricket-score,Match yet to begin
21,Chennai Super Kings,CSK,5,Royal Challengers Bangalore,RCB,5,2022-04-12 14:00:00,1298423,1304068,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-royal-challengers-bangalore-22nd-match-1304068/live-cricket-score,Match yet to begin
22,Mumbai Indians,MI,5,Punjab Kings,KXIP,5,2022-04-13 14:00:00,1298423,1304069,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-punjab-kings-23rd-match-1304069/live-cricket-score,Match yet to begin
23,Rajasthan Royals,RR,5,Gujarat Titans,GT,5,2022-04-14 14:00:00,1298423,1304070,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-gujarat-titans-24th-match-1304070/live-cricket-score,Match yet to begin
24,Sunrisers Hyderabad,SRH,5,Kolkata Knight Riders,KKR,6,2022-04-15 14:00:00,1298423,1304071,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-kolkata-knight-riders-25th-match-1304071/live-cricket-score,Match yet to begin
25,Mumbai Indians,MI,6,Lucknow Super Giants,LSG,6,2022-04-16 10:00:00,1298423,1304072,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-lucknow-super-giants-26th-match-1304072/live-cricket-score,Match yet to begin
26,Delhi Capitals,DC,5,Royal Challengers Bangalore,RCB,6,2022-04-16 14:00:00,1298423,1304073,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-royal-challengers-bangalore-27th-match-1304073/live-cricket-score,Match yet to begin
27,Punjab Kings,KXIP,6,Sunrisers Hyderabad,SRH,6,2022-04-17 10:00:00,1298423,1304074,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-sunrisers-hyderabad-28th-match-1304074/live-cricket-score,Match yet to begin
28,Gujarat Titans,GT,6,Chennai Super Kings,CSK,6,2022-04-17 14:00:00,1298423,1304075,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-chennai-super-kings-29th-match-1304075/live-cricket-score,Match yet to begin
29,Rajasthan Royals,RR,6,Kolkata Knight Riders,KKR,7,2022-04-18 14:00:00,1298423,1304076,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-kolkata-knight-riders-30th-match-1304076/live-cricket-score,Match yet to begin
30,Lucknow Super Giants,LSG,7,Royal Challengers Bangalore,RCB,7,2022-04-19 14:00:00,1298423,1304077,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-royal-challengers-bangalore-31st-match-1304077/live-cricket-score,Match yet to begin
31,Delhi Capitals,DC,6,Punjab Kings,KXIP,7,2022-04-20 14:00:00,1298423,1304078,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-punjab-kings-32nd-match-1304078/live-cricket-score,Match yet to begin
32,Mumbai Indians,MI,7,Chennai Super Kings,CSK,7,2022-04-21 14:00:00,1298423,1304079,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-chennai-super-kings-33rd-match-1304079/live-cricket-score,Match yet to begin
33,Delhi Capitals,DC,7,Rajasthan Royals,RR,7,2022-04-22 14:00:00,1298423,1304080,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-rajasthan-royals-34th-match-1304080/live-cricket-score,Match yet to begin
34,Kolkata Knight Riders,KKR,8,Gujarat Titans,GT,7,2022-04-23 10:00:00,1298423,1304081,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-gujarat-titans-35th-match-1304081/live-cricket-score,Match yet to begin
35,Royal Challengers Bangalore,RCB,8,Sunrisers Hyderabad,SRH,7,2022-04-23 14:00:00,1298423,1304082,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-sunrisers-hyderabad-36th-match-1304082/live-cricket-score,Match yet to begin
36,Lucknow Super Giants,LSG,8,Mumbai Indians,MI,8,2022-04-24 14:00:00,1298423,1304083,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-mumbai-indians-37th-match-1304083/live-cricket-score,Match yet to begin
37,Punjab Kings,KXIP,8,Chennai Super Kings,CSK,8,2022-04-25 14:00:00,1298423,1304084,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-chennai-super-kings-38th-match-1304084/live-cricket-score,Match yet to begin
38,Royal Challengers Bangalore,RCB,9,Rajasthan Royals,RR,8,2022-04-26 14:00:00,1298423,1304085,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-rajasthan-royals-39th-match-1304085/live-cricket-score,Match yet to begin
39,Gujarat Titans,GT,8,Sunrisers Hyderabad,SRH,8,2022-04-27 14:00:00,1298423,1304086,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-sunrisers-hyderabad-40th-match-1304086/live-cricket-score,Match yet to begin
40,Delhi Capitals,DC,8,Kolkata Knight Riders,KKR,9,2022-04-28 14:00:00,1298423,1304087,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-kolkata-knight-riders-41st-match-1304087/live-cricket-score,Match yet to begin
41,Punjab Kings,KXIP,9,Lucknow Super Giants,LSG,9,2022-04-29 14:00:00,1298423,1304088,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-lucknow-super-giants-42nd-match-1304088/live-cricket-score,Match yet to begin
42,Gujarat Titans,GT,9,Royal Challengers Bangalore,RCB,10,2022-04-30 10:00:00,1298423,1304089,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-royal-challengers-bangalore-43rd-match-1304089/live-cricket-score,Match yet to begin
43,Rajasthan Royals,RR,9,Mumbai Indians,MI,9,2022-04-30 14:00:00,1298423,1304090,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-mumbai-indians-44th-match-1304090/live-cricket-score,Match yet to begin
44,Delhi Capitals,DC,9,Lucknow Super Giants,LSG,10,2022-05-01 10:00:00,1298423,1304091,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-lucknow-super-giants-45th-match-1304091/live-cricket-score,Match yet to begin
45,Sunrisers Hyderabad,SRH,9,Chennai Super Kings,CSK,9,2022-05-01 14:00:00,1298423,1304092,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-chennai-super-kings-46th-match-1304092/live-cricket-score,Match yet to begin
46,Kolkata Knight Riders,KKR,10,Rajasthan Royals,RR,10,2022-05-02 14:00:00,1298423,1304093,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-rajasthan-royals-47th-match-1304093/live-cricket-score,Match yet to begin
47,Gujarat Titans,GT,10,Punjab Kings,KXIP,10,2022-05-03 14:00:00,1298423,1304094,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-punjab-kings-48th-match-1304094/live-cricket-score,Match yet to begin
48,Royal Challengers Bangalore,RCB,11,Chennai Super Kings,CSK,10,2022-05-04 14:00:00,1298423,1304095,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-chennai-super-kings-49th-match-1304095/live-cricket-score,Match yet to begin
49,Delhi Capitals,DC,10,Sunrisers Hyderabad,SRH,10,2022-05-05 14:00:00,1298423,1304096,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-sunrisers-hyderabad-50th-match-1304096/live-cricket-score,Match yet to begin
50,Gujarat Titans,GT,11,Mumbai Indians,MI,10,2022-05-06 14:00:00,1298423,1304097,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-mumbai-indians-51st-match-1304097/live-cricket-score,Match yet to begin
51,Punjab Kings,KXIP,11,Rajasthan Royals,RR,11,2022-05-07 10:00:00,1298423,1304098,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-rajasthan-royals-52nd-match-1304098/live-cricket-score,Match yet to begin
52,Lucknow Super Giants,LSG,11,Kolkata Knight Riders,KKR,11,2022-05-07 14:00:00,1298423,1304099,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-kolkata-knight-riders-53rd-match-1304099/live-cricket-score,Match yet to begin
53,Sunrisers Hyderabad,SRH,11,Royal Challengers Bangalore,RCB,12,2022-05-08 10:00:00,1298423,1304100,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-royal-challengers-bangalore-54th-match-1304100/live-cricket-score,Match yet to begin
54,Chennai Super Kings,CSK,11,Delhi Capitals,DC,11,2022-05-08 14:00:00,1298423,1304101,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-delhi-capitals-55th-match-1304101/live-cricket-score,Match yet to begin
55,Mumbai Indians,MI,11,Kolkata Knight Riders,KKR,12,2022-05-09 14:00:00,1298423,1304102,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-kolkata-knight-riders-56th-match-1304102/live-cricket-score,Match yet to begin
56,Lucknow Super Giants,LSG,12,Gujarat Titans,GT,12,2022-05-10 14:00:00,1298423,1304103,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-gujarat-titans-57th-match-1304103/live-cricket-score,Match yet to begin
57,Rajasthan Royals,RR,12,Delhi Capitals,DC,12,2022-05-11 14:00:00,1298423,1304104,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-delhi-capitals-58th-match-1304104/live-cricket-score,Match yet to begin
58,Chennai Super Kings,CSK,12,Mumbai Indians,MI,12,2022-05-12 14:00:00,1298423,1304105,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-mumbai-indians-59th-match-1304105/live-cricket-score,Match yet to begin
59,Royal Challengers Bangalore,RCB,13,Punjab Kings,KXIP,12,2022-05-13 14:00:00,1298423,1304106,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-punjab-kings-60th-match-1304106/live-cricket-score,Match yet to begin
60,Kolkata Knight Riders,KKR,13,Sunrisers Hyderabad,SRH,12,2022-05-14 14:00:00,1298423,1304107,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-sunrisers-hyderabad-61st-match-1304107/live-cricket-score,Match yet to begin
61,Chennai Super Kings,CSK,13,Gujarat Titans,GT,13,2022-05-15 10:00:00,1298423,1304108,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-gujarat-titans-62nd-match-1304108/live-cricket-score,Match yet to begin
62,Lucknow Super Giants,LSG,13,Rajasthan Royals,RR,13,2022-05-15 14:00:00,1298423,1304109,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-rajasthan-royals-63rd-match-1304109/live-cricket-score,Match yet to begin
63,Punjab Kings,KXIP,13,Delhi Capitals,DC,13,2022-05-16 14:00:00,1298423,1304110,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-delhi-capitals-64th-match-1304110/live-cricket-score,Match yet to begin
64,Mumbai Indians,MI,13,Sunrisers Hyderabad,SRH,13,2022-05-17 14:00:00,1298423,1304111,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-sunrisers-hyderabad-65th-match-1304111/live-cricket-score,Match yet to begin
65,Kolkata Knight Riders,KKR,14,Lucknow Super Giants,LSG,14,2022-05-18 14:00:00,1298423,1304112,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-lucknow-super-giants-66th-match-1304112/live-cricket-score,Match yet to begin
66,Royal Challengers Bangalore,RCB,14,Gujarat Titans,GT,14,2022-05-19 14:00:00,1298423,1304113,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-gujarat-titans-67th-match-1304113/live-cricket-score,Match yet to begin
67,Rajasthan Royals,RR,14,Chennai Super Kings,CSK,14,2022-05-20 14:00:00,1298423,1304114,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-chennai-super-kings-68th-match-1304114/live-cricket-score,Match yet to begin
68,Mumbai Indians,MI,14,Delhi Capitals,DC,14,2022-05-21 14:00:00,1298423,1304115,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-delhi-capitals-69th-match-1304115/live-cricket-score,Match yet to begin
69,Sunrisers Hyderabad,SRH,14,Punjab Kings,KXIP,14,2022-05-22 14:00:00,1298423,1304116,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116/live-cricket-score,Match yet to begin
70,Gujarat Titans,GT,15,Rajasthan Royals,RR,15,2022-05-24 14:00:00,1298423,1312197,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-rajasthan-royals-qualifier-1-1312197/live-cricket-score,Match yet to begin
71,Lucknow Super Giants,LSG,15,Royal Challengers Bangalore,RCB,15,2022-05-25 14:00:00,1298423,1312198,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-royal-challengers-bangalore-eliminator-1312198/live-cricket-score,Match yet to begin
