match_num,team_1,abbrev_1,game_1,team_2,abbrev_2,game_2,start,series_id,match_id,url,status
0,Chennai Super Kings,CSK,1,Kolkata Knight Riders,KKR,1,,1249214,1254117,https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-kolkata-knight-riders-final-1254117/full-scorecard,Super Kings won by 27 runs
1,Delhi Capitals,DC,1,Kolkata Knight Riders,KKR,2,,1249214,1254116,https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-kolkata-knight-riders-qualifier-2-1254116/full-scorecard,KKR won by 3 wickets (with 1 ball remaining)
2,Royal Challengers Bangalore,RCB,1,Kolkata Knight Riders,KKR,3,,1249214,1254115,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-kolkata-knight-riders-eliminator-1254115/full-scorecard,KKR won by 4 wickets (with 2 balls remaining)
3,Delhi Capitals,DC,2,Chennai Super Kings,CSK,2,,1249214,1254114,https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-chennai-super-kings-qualifier-1-1254114/full-scorecard,Super Kings won by 4 wickets (with 2 balls remaining)
4,Delhi Capitals,DC,3,Royal Challengers Bangalore,RCB,2,,1249214,1254101,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-delhi-capitals-56th-match-1254101/full-scorecard,RCB won by 7 wickets
5,Mumbai Indians,MI,1,Sunrisers Hyderabad,SRH,1,,1249214,1254088,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088/full-scorecard,Mumbai won by 42 runs
6,Kolkata Knight Riders,KKR,4,Rajasthan Royals,RR,1,,1249214,1254106,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-rajasthan-royals-54th-match-1254106/full-scorecard,KKR won by 86 runs
7,Chennai Super Kings,CSK,3,Punjab Kings,KXIP,1,,1249214,1254094,https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-punjab-kings-53rd-match-1254094/full-scorecard,Punjab Kings won by 6 wickets (with 42 balls remaining)
8,Sunrisers Hyderabad,SRH,2,Royal Challengers Bangalore,RCB,3,,1249214,1254095,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-sunrisers-hyderabad-52nd-match-1254095/full-scorecard,Sunrisers won by 4 runs
9,Rajasthan Royals,RR,2,Mumbai Indians,MI,2,,1249214,1254093,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-mumbai-indians-51st-match-1254093/full-scorecard,Mumbai won by 8 wickets (with 70 balls remaining)
10,Chennai Super Kings,CSK,4,Delhi Capitals,DC,4,,1249214,1254110,https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-chennai-super-kings-50th-match-1254110/full-scorecard,Capitals won by 3 wickets (with 2 balls remaining)
11,Sunrisers Hyderabad,SRH,3,Kolkata Knight Riders,KKR,5,,1249214,1254109,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-sunrisers-hyderabad-49th-match-1254109/full-scorecard,KKR won by 6 wickets (with 2 balls remaining)
12,Royal Challengers Bangalore,RCB,4,Punjab Kings,KXIP,2,,1249214,1254090,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090/full-scorecard,RCB won by 6 runs
13,Chennai Super Kings,CSK,5,Rajasthan Royals,RR,3,,1249214,1254089,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-chennai-super-kings-47th-match-1254089/full-scorecard,Royals won by 7 wickets (with 15 balls remaining)
14,Mumbai Indians,MI,3,Delhi Capitals,DC,5,,1249214,1254112,https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-delhi-capitals-46th-match-1254112/full-scorecard,Capitals won by 4 wickets (with 5 balls remaining)
15,Kolkata Knight Riders,KKR,6,Punjab Kings,KXIP,3,,1249214,1254102,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-punjab-kings-45th-match-1254102/full-scorecard,Punjab Kings won by 5 wickets (with 3 balls remaining)
16,Sunrisers Hyderabad,SRH,4,Chennai Super Kings,CSK,6,,1249214,1254091,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-chennai-super-kings-44th-match-1254091/full-scorecard,Super Kings won by 6 wickets (with 2 balls remaining)
17,Rajasthan Royals,RR,4,Royal Challengers Bangalore,RCB,5,,1249214,1254103,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-royal-challengers-bangalore-43rd-match-1254103/full-scorecard,RCB won by 7 wickets (with 17 balls remaining)
18,Punjab Kings,KXIP,4,Mumbai Indians,MI,4,,1249214,1254099,https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-punjab-kings-42nd-match-1254099/full-scorecard,Mumbai won by 6 wickets (with 6 balls remaining)
19,Delhi Capitals,DC,6,Kolkata Knight Riders,KKR,7,,1249214,1254092,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-delhi-capitals-41st-match-1254092/full-scorecard,KKR won by 3 wickets (with 10 balls remaining)
20,Rajasthan Royals,RR,5,Sunrisers Hyderabad,SRH,5,,1249214,1254100,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-rajasthan-royals-40th-match-1254100/full-scorecard,Sunrisers won by 7 wickets (with 9 balls remaining)
21,Royal Challengers Bangalore,RCB,6,Mumbai Indians,MI,5,,1249214,1254108,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108/full-scorecard,RCB won by 54 runs
22,Kolkata Knight Riders,KKR,8,Chennai Super Kings,CSK,7,,1249214,1254098,https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-kolkata-knight-riders-38th-match-1254098/full-scorecard,Super Kings won by 2 wickets
23,Punjab Kings,KXIP,5,Sunrisers Hyderabad,SRH,6,,1249214,1254107,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-punjab-kings-37th-match-1254107/full-scorecard,Punjab Kings won by 5 runs
24,Delhi Capitals,DC,7,Rajasthan Royals,RR,6,,1249214,1254097,https://www.espncricinfo.com/series/ipl-2021-1249214/delhi-capitals-vs-rajasthan-royals-36th-match-1254097/full-scorecard,Capitals won by 33 runs
25,Royal Challengers Bangalore,RCB,7,Chennai Super Kings,CSK,8,,1249214,1254113,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-chennai-super-kings-35th-match-1254113/full-scorecard,Super Kings won by 6 wickets (with 11 balls remaining)
