name,team,abbrev
MS Dhoni,Chennai Super Kings,CSK
Moeen Ali,Chennai Super Kings,CSK
KM Asif,Chennai Super Kings,CSK
Bhagath Varma,Chennai Super Kings,CSK
Dwayne Bravo,Chennai Super Kings,CSK
Devon Conway,Chennai Super Kings,CSK
Tushar Deshpande,Chennai Super Kings,CSK
Shivam Dube,Chennai Super Kings,CSK
Ruturaj Gaikwad,Chennai Super Kings,CSK
Rajvardhan Hangargekar,Chennai Super Kings,CSK
Hari Nishaanth,Chennai Super Kings,CSK
Ravindra Jadeja,Chennai Super Kings,CSK
Narayan Jagadeesan,Chennai Super Kings,CSK
Chris Jordan,Chennai Super Kings,CSK
Mukesh Choudhary,Chennai Super Kings,CSK
Matheesha Pathirana,Chennai Super Kings,CSK
Dwaine Pretorius,Chennai Super Kings,CSK
Ambati Rayudu,Chennai Super Kings,CSK
Mitchell Santner,Chennai Super Kings,CSK
Subhranshu Senapati,Chennai Super Kings,CSK
Simarjeet Singh,Chennai Super Kings,CSK
Prashant Solanki,Chennai Super Kings,CSK
Maheesh Theekshana,Chennai Super Kings,CSK
Robin Uthappa,Chennai Super Kings,CSK
Rishabh Pant,Delhi Capitals,DC
Khaleel Ahmed,Delhi Capitals,DC
Ashwin Hebbar,Delhi Capitals,DC
Srikar Bharat,Delhi Capitals,DC
Yash Dhull,Delhi Capitals,DC
Praveen Dubey,Delhi Capitals,DC
Sarfaraz Khan,Delhi Capitals,DC
Kuldeep Yadav,Delhi Capitals,DC
Lalit Yadav,Delhi Capitals,DC
Mandeep Singh,Delhi Capitals,DC
Mitchell Marsh,Delhi Capitals,DC
Mustafizur Rahman,Delhi Capitals,DC
Kamlesh Nagarkoti,Delhi Capitals,DC
Lungi Ngidi,Delhi Capitals,DC
Anrich Nortje,Delhi Capitals,DC
Vicky Ostwal,Delhi Capitals,DC
Ripal Patel,Delhi Capitals,DC
Axar Patel,Delhi Capitals,DC
Rovman Powell,Delhi Capitals,DC
Chetan Sakariya,Delhi Capitals,DC
Tim Seifert,Delhi Capitals,DC
Prithvi Shaw,Delhi Capitals,DC
Shardul Thakur,Delhi Capitals,DC
David Warner,Delhi Capitals,DC
Hardik Pandya,Gujarat Titans,GT
Varun Aaron,Gujarat Titans,GT
Dominic Drakes,Gujarat Titans,GT
Lockie Ferguson,Gujarat Titans,GT
Gurkeerat Singh Mann,Gujarat Titans,GT
Alzarri Joseph,Gujarat Titans,GT
Abhinav Manohar,Gujarat Titans,GT
David Miller,Gujarat Titans,GT
Mohammed Shami,Gujarat Titans,GT
Darshan Nalkande,Gujarat Titans,GT
Noor Ahmad,Gujarat Titans,GT
Rahmanullah Gurbaz,Gujarat Titans,GT
Rashid Khan,Gujarat Titans,GT
Wriddhiman Saha,Gujarat Titans,GT
Ravisrinivasan Sai Kishore,Gujarat Titans,GT
Sai Sudharsan,Gujarat Titans,GT
Pradeep Sangwan,Gujarat Titans,GT
Vijay Shankar,Gujarat Titans,GT
Shubman Gill,Gujarat Titans,GT
Rahul Tewatia,Gujarat Titans,GT
Matthew Wade,Gujarat Titans,GT
Jayant Yadav,Gujarat Titans,GT
Yash Dayal,Gujarat Titans,GT
Shreyas Iyer,Kolkata Knight Riders,KKR
Aman Hakim Khan,Kolkata Knight Riders,KKR
Ashok Sharma,Kolkata Knight Riders,KKR
Sam Billings,Kolkata Knight Riders,KKR
Pat Cummins,Kolkata Knight Riders,KKR
Aaron Finch,Kolkata Knight Riders,KKR
Harshit Rana,Kolkata Knight Riders,KKR
Baba Indrajith,Kolkata Knight Riders,KKR
Venkatesh Iyer,Kolkata Knight Riders,KKR
Sheldon Jackson,Kolkata Knight Riders,KKR
Chamika Karunaratne,Kolkata Knight Riders,KKR
Mohammad Nabi,Kolkata Knight Riders,KKR
Sunil Narine,Kolkata Knight Riders,KKR
Pratham Singh,Kolkata Knight Riders,KKR
Ajinkya Rahane,Kolkata Knight Riders,KKR
Ramesh Kumar,Kolkata Knight Riders,KKR
Nitish Rana,Kolkata Knight Riders,KKR
Anukul Roy,Kolkata Knight Riders,KKR
Andre Russell,Kolkata Knight Riders,KKR
Shivam Mavi,Kolkata Knight Riders,KKR
Rinku Singh,Kolkata Knight Riders,KKR
Tim Southee,Kolkata Knight Riders,KKR
Abhijeet Tomar,Kolkata Knight Riders,KKR
Varun Chakravarthy,Kolkata Knight Riders,KKR
Umesh Yadav,Kolkata Knight Riders,KKR
KL Rahul,Lucknow Super Giants,LSG
Avesh Khan,Lucknow Super Giants,LSG
Ayush Badoni,Lucknow Super Giants,LSG
Dushmantha Chameera,Lucknow Super Giants,LSG
Quinton de Kock,Lucknow Super Giants,LSG
Krishnappa Gowtham,Lucknow Super Giants,LSG
Jason Holder,Lucknow Super Giants,LSG
Deepak Hooda,Lucknow Super Giants,LSG
Evin Lewis,Lucknow Super Giants,LSG
Kyle Mayers,Lucknow Super Giants,LSG
Mohsin Khan,Lucknow Super Giants,LSG
Shahbaz Nadeem,Lucknow Super Giants,LSG
Manish Pandey,Lucknow Super Giants,LSG
Krunal Pandya,Lucknow Super Giants,LSG
Ankit Rajpoot,Lucknow Super Giants,LSG
Ravi Bishnoi,Lucknow Super Giants,LSG
Karan Sharma,Lucknow Super Giants,LSG
Marcus Stoinis,Lucknow Super Giants,LSG
Andrew Tye,Lucknow Super Giants,LSG
Manan Vohra,Lucknow Super Giants,LSG
Mayank Yadav,Lucknow Super Giants,LSG
Rohit Sharma,Mumbai Indians,MI
Fabian Allen,Mumbai Indians,MI
Anmolpreet Singh,Mumbai Indians,MI
Jofra Archer,Mumbai Indians,MI
Murugan Ashwin,Mumbai Indians,MI
Basil Thampi,Mumbai Indians,MI
Dewald Brevis,Mumbai Indians,MI
Rahul Buddhi,Mumbai Indians,MI
Jasprit Bumrah,Mumbai Indians,MI
Tim David,Mumbai Indians,MI
Ishan Kishan,Mumbai Indians,MI
Aryan Juyal,Mumbai Indians,MI
Kumar Kartikeya,Mumbai Indians,MI
Mayank Markande,Mumbai Indians,MI
Riley Meredith,Mumbai Indians,MI
Tymal Mills,Mumbai Indians,MI
Kieron Pollard,Mumbai Indians,MI
Ramandeep Singh,Mumbai Indians,MI
Daniel Sams,Mumbai Indians,MI
Sanjay Yadav,Mumbai Indians,MI
Hrithik Shokeen,Mumbai Indians,MI
Arjun Tendulkar,Mumbai Indians,MI
Tilak Varma,Mumbai Indians,MI
Jaydev Unadkat,Mumbai Indians,MI
Suryakumar Yadav,Mumbai Indians,MI
Mayank Agarwal,Punjab Kings,KXIP
Vaibhav Arora,Punjab Kings,KXIP
Arshdeep Singh,Punjab Kings,KXIP
Jonny Bairstow,Punjab Kings,KXIP
Baltej Singh,Punjab Kings,KXIP
Raj Bawa,Punjab Kings,KXIP
Rahul Chahar,Punjab Kings,KXIP
Writtick Chatterjee,Punjab Kings,KXIP
Rishi Dhawan,Punjab Kings,KXIP
Shikhar Dhawan,Punjab Kings,KXIP
Nathan Ellis,Punjab Kings,KXIP
Harpreet Brar,Punjab Kings,KXIP
Benny Howell,Punjab Kings,KXIP
Liam Livingstone,Punjab Kings,KXIP
Prerak Mankad,Punjab Kings,KXIP
Ansh Patel,Punjab Kings,KXIP
Ishan Porel,Punjab Kings,KXIP
Prabhsimran Singh,Punjab Kings,KXIP
Kagiso Rabada,Punjab Kings,KXIP
Bhanuka Rajapaksa,Punjab Kings,KXIP
Sandeep Sharma,Punjab Kings,KXIP
M Shahrukh Khan,Punjab Kings,KXIP
Jitesh Sharma,Punjab Kings,KXIP
Odean Smith,Punjab Kings,KXIP
Atharva Taide,Punjab Kings,KXIP
Sanju Samson,Rajasthan Royals,RR
Anunay Singh,Rajasthan Royals,RR
Ravichandran Ashwin,Rajasthan Royals,RR
Trent Boult,Rajasthan Royals,RR
Jos Buttler,Rajasthan Royals,RR
KC Cariappa,Rajasthan Royals,RR
Yuzvendra Chahal,Rajasthan Royals,RR
Nathan Coulter-Nile,Rajasthan Royals,RR
Shubham Garhwal,Rajasthan Royals,RR
Shimron Hetmyer,Rajasthan Royals,RR
Yashasvi Jaiswal,Rajasthan Royals,RR
Dhruv Jurel,Rajasthan Royals,RR
Obed McCoy,Rajasthan Royals,RR
Daryl Mitchell,Rajasthan Royals,RR
Karun Nair,Rajasthan Royals,RR
James Neesham,Rajasthan Royals,RR
Devdutt Padikkal,Rajasthan Royals,RR
Riyan Parag,Rajasthan Royals,RR
Prasidh Krishna,Rajasthan Royals,RR
Navdeep Saini,Rajasthan Royals,RR
Kuldeep Sen,Rajasthan Royals,RR
Tejas Baroka,Rajasthan Royals,RR
Rassie van der Dussen,Rajasthan Royals,RR
Kuldip Yadav,Rajasthan Royals,RR
Faf du Plessis,Royal Challengers Bangalore,RCB
Akash Deep,Royal Challengers Bangalore,RCB
Finn Allen,Royal Challengers Bangalore,RCB
Anuj Rawat,Royal Challengers Bangalore,RCB
