match_num,team_1,abbrev_1,game_1,team_2,abbrev_2,game_2,start,series_id,match_id,url,status
1,Mumbai Indians,MI,1,Royal Challengers Bangalore,RCB,1,2021-04-09 14:00:00,1249214,1254058,https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-royal-challengers-bangalore-1st-match-1254058/full-scorecard,Match yet to begin
2,Chennai Super Kings,CSK,1,Delhi Capitals,DC,1,2021-04-10 14:00:00,1249214,1254059,https://www.espncricinfo.com/series/ipl-2021-1249214/chennai-super-kings-vs-delhi-capitals-2nd-match-1254059/full-scorecard,Match yet to begin
3,Sunrisers Hyderabad,SRH,1,Kolkata Knight Riders,KKR,1,2021-04-11 14:00:00,1249214,1254060,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-kolkata-knight-riders-3rd-match-1254060/full-scorecard,Match yet to begin
4,Rajasthan Royals,RR,1,Punjab Kings,KXIP,1,2021-04-12 14:00:00,1249214,1254061,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-punjab-kings-4th-match-1254061/full-scorecard,Match yet to begin
5,Kolkata Knight Riders,KKR,2,Mumbai Indians,MI,2,2021-04-13 14:00:00,1249214,1254062,https://www.espncricinfo.com/series/ipl-2021-1249214/kolkata-knight-riders-vs-mumbai-indians-5th-match-1254062/full-scorecard,Match yet to begin
6,Sunrisers Hyderabad,SRH,2,Royal Challengers Bangalore,RCB,2,2021-04-14 14:00:00,1249214,1254063,https://www.espncricinfo.com/series/ipl-2021-1249214/sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063/full-scorecard,Match yet to begin
7,Rajasthan Royals,RR,2,Delhi Capitals,DC,2,2021-04-15 14:00:00,1249214,1254064,https://www.espncricinfo.com/series/ipl-2021-1249214/rajasthan-royals-vs-delhi-capitals-7th-match-1254064/full-scorecard,Match yet to begin
8,Punjab Kings,KXIP,2,Chennai Super Kings,CSK,2,2021-04-16 14:00:00,1249214,1254065,https://www.espncricinfo.com/series/ipl-2021-1249214/punjab-kings-vs-chennai-super-kings-8th-match-1254065/full-scorecard,Match yet to begin
9,Mumbai Indians,MI,3,Sunrisers Hyderabad,SRH,3,2021-04-17 14:00:00,1249214,1254066,https://www.espncricinfo.com/series/ipl-2021-1249214/mumbai-indians-vs-sunrisers-hyderabad-9th-match-1254066/full-scorecard,Match yet to begin
10,Royal Challengers Bangalore,RCB,3,Kolkata Knight Riders,KKR,3,2021-04-18 10:00:00,1249214,1254067,https://www.espncricinfo.com/series/ipl-2021-1249214/royal-challengers-bangalore-vs-kolkata-knight-riders-10th-match-1254067/full-scorecard,Match yet to begin
